"","V1","V2","V3","V4","V5"
"650",2,136,5723604,1,5723739
"651",2,137,5724601,1,5724737
"652",2,175,5731363,1,5731537
"653",2,130,5736957,1,5737086
"654",2,118,5737271,1,5737388
"655",2,139,5737707,1,5737845
"656",2,203,5738318,1,5738520
"657",2,45,5739399,1,5739443
"658",2,64,5740605,1,5740668
"659",2,78,5744512,1,5744589
"660",2,107,5745771,1,5745877
"661",2,112,5746468,1,5746579
"662",2,168,5747498,1,5747665
"663",2,8,5750031,1,5750038
"664",2,129,5751630,1,5751758
"665",2,201,5758469,1,5758669
"666",2,184,5758902,1,5759085
"667",2,103,5765442,1,5765544
"668",2,90,5765768,1,5765857
"669",2,97,5766128,1,5766224
"670",2,36,5768848,1,5768883
"671",2,102,5773742,1,5773843
"672",2,100,5775123,1,5775222
"673",2,113,5778883,1,5778995
"674",2,121,5779560,1,5779680
"675",2,139,5792003,1,5792141
"676",2,99,5793260,1,5793358
"677",2,161,5801792,1,5801952
"678",2,119,5806442,1,5806560
"679",2,106,5814732,1,5814837
"680",2,215,5821810,1,5822024
"681",2,194,5828255,1,5828448
"682",2,130,5834387,1,5834516
"683",2,248,5841372,1,5841619
"684",2,418,5841848,1,5842265
"685",2,113,5842596,1,5842708
"686",2,172,5843128,1,5843299
"687",2,154,5848035,1,5848188
"688",2,96,5850492,1,5850587
"689",2,122,5854494,1,5854615
"690",2,148,5855291,1,5855438
"691",2,172,5856298,1,5856469
"692",2,123,5857372,1,5857494
"693",2,189,5863068,1,5863256
"694",2,151,5863779,1,5863929
"695",2,411,5874464,1,5874874
"696",2,120,5874970,1,5875089
"697",2,113,5875300,1,5875412
"698",2,134,5876253,1,5876386
"699",2,124,5882232,1,5882355
"700",2,120,5883661,1,5883780
"701",2,222,5889177,1,5889398
"702",2,99,5890122,1,5890220
"703",2,1175,5892202,1,5893376
"704",2,78,5896302,1,5896379
"705",2,1403,5898183,1,5899585
"706",2,128,5903048,1,5903175
"707",2,92,5905416,1,5905507
"708",2,188,5909976,1,5910163
"709",2,108,5910929,1,5911036
"710",2,191,5917036,1,5917226
"711",2,126,5918405,1,5918530
"712",2,91,5918893,1,5918983
"713",2,88,5924038,1,5924125
"714",2,146,5925497,1,5925642
"715",2,136,5926030,1,5926165
"716",2,80,5931241,1,5931320
"717",2,183,5932534,1,5932716
"718",2,109,5933336,1,5933444
"719",2,174,5934088,1,5934261
"720",2,120,5934636,1,5934755
"721",2,712,5938811,1,5939522
"722",2,128,5947044,1,5947171
"723",2,52,5947673,1,5947724
"724",2,92,5952863,1,5952954
"725",2,188,5954643,1,5954830
"726",2,116,5960255,1,5960370
"727",2,148,5960603,1,5960750
"728",2,185,5961379,1,5961563
"729",2,175,5968265,1,5968439
"730",2,49,5970527,1,5970575
"731",2,117,5972761,1,5972877
"732",2,100,5973902,1,5974001
"733",2,73,5974661,1,5974733
"734",2,127,5982504,1,5982630
"735",2,15,5983274,1,5983288
"736",2,101,5983369,1,5983469
"737",2,131,5988573,1,5988703
"738",2,115,5995889,1,5996003
"739",2,170,6002799,1,6002968
"740",2,172,6009511,1,6009682
"741",2,160,6010384,1,6010543
"742",2,175,6015737,1,6015911
"743",2,86,6020879,1,6020964
"744",2,13,6021445,1,6021457
"745",2,100,6024046,1,6024145
"746",2,159,6029024,1,6029182
"747",2,165,6029322,1,6029486
"748",2,66,6030990,1,6031055
"749",2,159,6036717,1,6036875
"750",2,87,6038926,1,6039012
"751",2,133,6043141,1,6043273
"752",2,86,6043756,1,6043841
"753",2,142,6044693,1,6044834
"754",2,181,6051668,1,6051848
"755",2,157,6052783,1,6052939
"756",2,190,6061273,1,6061462
"757",2,513,6065584,1,6066096
"758",2,4,6071136,1,6071139
"759",2,592,6073230,1,6073821
"760",2,452,6073911,1,6074362
"761",2,210,6079671,1,6079880
"762",2,456,6086382,1,6086837
"763",2,195,6087405,1,6087599
"764",2,130,6088507,1,6088636
"765",2,83,6094549,1,6094631
"766",2,454,6095044,1,6095497
"767",2,81,6096151,1,6096231
"768",2,202,6107922,1,6108123
"769",2,91,6109425,1,6109515
"770",2,161,6111993,1,6112153
"771",2,72,6112565,1,6112636
"772",2,243,6114032,1,6114274
"773",2,130,6121219,1,6121348
"774",2,122,6127200,1,6127321
"775",2,95,6137595,1,6137689
"776",2,124,6145156,1,6145279
"777",2,120,6149495,1,6149614
"778",2,117,6155306,1,6155422
"779",2,194,6155832,1,6156025
"780",2,224,6162412,1,6162635
"781",2,312,6163205,1,6163516
"782",2,246,6168785,1,6169030
"783",2,155,6178375,1,6178529
"784",2,176,6182653,1,6182828
"785",2,119,6183381,1,6183499
"786",2,140,6183847,1,6183986
"787",2,321,6189668,1,6189988
"788",2,220,6191022,1,6191241
"789",2,117,6195232,1,6195348
"790",2,69,6196032,1,6196100
"791",2,424,6196560,1,6196983
"792",2,525,6203525,1,6204049
"793",2,158,6204178,1,6204335
"794",2,419,6211070,1,6211488
"795",2,312,6211920,1,6212231
"796",2,724,6217381,1,6218104
"797",2,229,6218294,1,6218522
"798",2,586,6223831,1,6224416
"799",2,555,6224585,1,6225139
"800",2,312,6226146,1,6226457
"801",2,174,6238703,1,6238876
"802",2,915,6245064,1,6245978
"803",2,162,6246215,1,6246376
"804",2,143,6247853,1,6247995
"805",2,107,6251931,1,6252037
"806",2,255,6252605,1,6252859
"807",2,122,6258600,1,6258721
"808",2,155,6259652,1,6259806
"809",2,79,6261018,1,6261096
"810",2,72,6264362,1,6264433
"811",2,203,6265893,1,6266095
"812",2,201,6273386,1,6273586
"813",2,169,6274293,1,6274461
"814",2,84,6276534,1,6276617
"815",2,160,6280420,1,6280579
"816",2,97,6280945,1,6281041
"817",2,118,6281965,1,6282082
"818",2,119,6286218,1,6286336
